,User,text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
0,@BBC,"It's the clash of the tennis titans 🎾👊@Andy_Murray and... er, @petercrouch? 🤔 #ChildrenInNeed https://t.co/7AVX9k8o41",Fri Nov 13 22:18:26 +0000 2020,0.0,0.0,1.0,0.0,1
1,@BBC,"RT @BBCRadio2: The official video for this year's star-studded @bbccin single, 'Stop Crying Your Heart Out' is here! 🤩

Watch now and don't…",Fri Nov 13 21:00:12 +0000 2020,-0.1007,0.141,0.671,0.188,1
2,@BBC,"Thanks for the exclusive performance for @bbccin, @shawnmendes 🙌

#ChildrenInNeed #ShawnMendes https://t.co/NmJOm6oDOt",Fri Nov 13 20:33:26 +0000 2020,0.5267,0.286,0.714,0.0,1
3,@BBC,"It's time for #ChildrenInNeed 2020!

Starting RIGHT NOW on @BBCOne &amp; @BBCiPlayer 🙌

👉https://t.co/6ja5CKOhAu https://t.co/S56XqamhIe",Fri Nov 13 19:00:01 +0000 2020,0.0,0.0,1.0,0.0,1
4,@BBC,"RT @bbcasiannetwork: Looking for the ultimate #Diwali soundtrack? 🎉

@HarpreetUK, @PanjabiHitSquad, @AshantiOmkar and @radiogagan have cura…",Fri Nov 13 18:02:03 +0000 2020,0.4019,0.144,0.856,0.0,1
5,@BBC,"Don and his wife Jen founded a foodbank in Cornwall that provides 14,000 meals every month to those in need.  🙌… https://t.co/yMmISXcygk",Fri Nov 13 15:37:06 +0000 2020,0.0,0.0,1.0,0.0,1
6,@BBC,"RT @BBCRadio2: The superhuman Joe Wicks has completed his 24 hour PE challenge and thanks to your generosity, he has raised £1,520,020 for…",Fri Nov 13 11:45:12 +0000 2020,0.7579,0.273,0.727,0.0,1
7,@BBC,"RT @BBCCiN: Oh they are so mean to you @MrNickKnowles!
 
This one is for Nigel who asked 'What exactly does Nick Knowles do?' 🤨
 
@DIYSOS,…",Thu Nov 12 19:12:21 +0000 2020,0.0,0.0,1.0,0.0,1
8,@BBC,"RT @BBCiPlayer: Clive cradling Louis cradling Clive cradling... 

BBC iPlayer, like nowhere else. https://t.co/yYoN2FtXTn",Thu Nov 12 15:10:46 +0000 2020,0.3612,0.161,0.839,0.0,1
9,@BBC,"It’s an emotional moment for @garylineker, as he reads accounts of those who were with his grandfather in the midst… https://t.co/d7NEohYhSG",Thu Nov 12 14:01:00 +0000 2020,0.1531,0.074,0.926,0.0,1
