,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,cayenne,GF,2020-11-14 10:51:04,4.93,-52.33,100,66,86.26999999999995,3.1
1,sept-iles,CA,2020-11-14 10:47:15,50.2,-66.38,90,95,33.27799999999996,3.1
2,vaini,TO,2020-11-14 10:51:04,-21.2,-175.2,20,88,75.46999999999997,2.1
3,victoria,HK,2020-11-14 10:49:37,22.29,114.16,100,77,73.27400000000002,0.89
4,kruisfontein,ZA,2020-11-14 10:51:04,-34,24.73,26,60,70.26799999999999,3.13
5,atuona,PF,2020-11-14 10:51:05,-9.8,-139.03,79,73,77.61199999999997,6.21
6,korla,CN,2020-11-14 10:51:05,41.76,86.15,56,56,42.242,4.11
7,nelson bay,AU,2020-11-14 10:51:05,-32.72,152.15,2,93,65.26400000000004,2.24
8,aksu,CN,2020-11-14 10:51:05,41.12,80.26,79,61,36.91400000000003,0.56
9,katsuura,JP,2020-11-14 10:51:05,35.13,140.3,20,67,59.26999999999996,3.6
10,cape town,ZA,2020-11-14 10:38:20,-33.93,18.42,75,59,67.26199999999996,6.2
11,badaojiang,,,,,,,,
12,brodokalmak,RU,2020-11-14 10:51:05,55.57,62.08,75,85,14.269999999999957,4
13,saint-philippe,RE,2020-11-14 10:51:05,-21.36,55.77,90,69,75.46999999999997,5.1
14,rajapolah,ID,2020-11-14 10:51:06,-7.22,108.19,93,91,72.57200000000003,0.75
15,vila franca do campo,PT,2020-11-14 10:51:06,37.72,-25.43,75,93,66.46999999999997,8.2
16,saint-pierre,RE,2020-11-14 10:51:06,-21.34,55.48,90,69,75.46999999999997,5.1
17,maine-soroa,NE,2020-11-14 10:51:06,13.21,12.02,1,16,90.87799999999996,6.46
18,watertown,US,2020-11-14 10:46:26,42.37,-71.18,75,66,50.26999999999996,5.1
19,albany,US,2020-11-14 10:50:03,42.6,-73.97,43,60,45.266000000000005,0.45
20,brownwood,US,2020-11-14 10:46:25,31.71,-98.99,1,78,71.86999999999996,7.2
21,srivardhan,IN,2020-11-14 10:51:06,18.03,73.02,0,75,79.98800000000006,3.28
22,bredasdorp,ZA,2020-11-14 10:51:06,-34.53,20.04,98,55,64.66999999999996,7.2
23,roald,NO,2020-11-14 10:51:07,62.58,6.13,75,61,50.26999999999996,5.1
24,fairbanks,US,2020-11-14 10:51:07,64.84,-147.72,90,85,16.069999999999958,1.5
25,carnarvon,AU,2020-11-14 10:51:07,-24.87,113.63,75,68,70.06999999999996,6.7
26,saldanha,ZA,2020-11-14 10:51:07,-33.01,17.94,77,59,64.66999999999996,7.7
27,ushuaia,AR,2020-11-14 10:51:07,-54.8,-68.3,75,65,41.26999999999996,8.7
28,belushya guba,,,,,,,,
29,general pico,AR,2020-11-14 10:51:07,-35.66,-63.76,85,31,76.118,6.09
30,alta floresta,BR,2020-11-14 10:51:07,-9.88,-56.09,20,62,89.86999999999996,2.1
31,tomatlan,MX,2020-11-14 10:51:08,19.93,-105.25,75,61,82.99399999999997,0.38
32,otradnoye,RU,2020-11-14 10:51:08,59.78,30.82,0,94,33.27799999999996,2.24
33,killam,CA,2020-11-14 10:51:08,52.78,-111.85,100,85,25.069999999999958,4.1
34,katangli,RU,2020-11-14 10:51:08,51.71,143.23,3,94,28.49000000000002,4.04
35,yichun,CN,2020-11-14 10:51:08,47.7,128.9,0,87,28.21999999999996,1.23
36,ribeira grande,PT,2020-11-14 10:51:08,38.52,-28.7,75,88,70.06999999999996,8.7
37,rio gallegos,AR,2020-11-14 10:51:09,-51.62,-69.22,75,25,52.069999999999965,16.5
38,mahebourg,MU,2020-11-14 10:51:09,-20.41,57.7,75,94,73.66999999999996,3.6
39,codrington,AU,2020-11-14 10:51:09,-38.27,141.97,1,94,50.48599999999997,3.63
40,hvide sande,DK,2020-11-14 10:51:09,56,8.13,100,79,50.26999999999996,0.89
41,busselton,AU,2020-11-14 10:51:09,-33.65,115.33,17,98,53.27599999999999,6.37
42,tadine,NC,2020-11-14 10:51:09,-21.55,167.88,0,86,73.958,2.66
43,mataura,NZ,2020-11-14 10:51:09,-46.19,168.86,100,62,62.27599999999999,2.24
44,bluff,NZ,2020-11-14 10:51:10,-46.6,168.33,100,62,62.27599999999999,2.24
45,hilo,US,2020-11-14 10:51:10,19.73,-155.09,1,88,68.26999999999995,1.5
46,rikitea,PF,2020-11-14 10:47:35,-23.12,-134.97,81,82,75.74000000000002,6.73
47,new amsterdam,GY,2020-11-14 10:51:10,6.25,-57.52,100,54,91.04000000000002,2.61
48,ucluelet,CA,2020-11-14 10:49:28,48.93,-125.55,75,100,38.26400000000003,2.6
49,kaitangata,NZ,2020-11-14 10:51:10,-46.28,169.85,100,69,60.27799999999996,2.26
50,cidreira,BR,2020-11-14 10:51:10,-30.18,-50.21,0,77,74.984,4.83
51,chokurdakh,RU,2020-11-14 10:51:10,70.63,147.92,51,88,-20.344000000000023,2.48
52,arraial do cabo,BR,2020-11-14 10:51:10,-22.97,-42.03,90,83,80.86999999999996,3.1
53,hithadhoo,MV,2020-11-14 10:51:10,-0.6,73.08,100,76,84.10999999999999,9.35
54,illoqqortoormiut,,,,,,,,
55,jardim,BR,2020-11-14 10:51:11,-21.48,-56.14,1,37,95.70199999999997,3.04
56,usinsk,RU,2020-11-14 10:51:11,65.99,57.53,1,93,6.8539999999999495,5.79
57,punta arenas,CL,2020-11-14 10:51:11,-53.15,-70.92,75,52,46.66999999999996,14.9
58,port macquarie,AU,2020-11-14 10:46:32,-31.43,152.92,2,100,61.26799999999999,1.62
59,upernavik,GL,2020-11-14 10:51:11,72.79,-56.15,91,85,9.266000000000009,5.29
60,gornopravdinsk,RU,2020-11-14 10:51:11,60.05,69.9,91,93,5.99000000000002,3.03
61,rimini,IT,2020-11-14 10:51:11,44.02,12.52,75,93,55.66999999999996,1.5
62,iqaluit,CA,2020-11-14 10:51:12,63.75,-68.51,75,67,17.86999999999996,1.5
63,yellowknife,CA,2020-11-14 10:46:14,62.46,-114.35,90,84,3.46999999999996,1.5
64,waynesville,US,2020-11-14 10:50:09,35.49,-82.99,0,29,56.26400000000004,1.56
65,bloemfontein,ZA,2020-11-14 10:50:39,-29.12,26.21,20,19,86.26999999999995,6.7
